No.,발주번호,호선,중산도면,원도면,품명,재질,소재,길이,수량,중량,영업납기,선급,현재진행공정,지연,비고,긴급,단가
54,A2105130081,4200306255-10,K01682,1152226-7.0,CONNECTING ROD STUD,SNCM439, Φ45,491,5,31,2021-06-17,LR,CNC1차대기-20210526,4,MAN Energy Solutions-(수출),,53798
55,A21052400CZ,4200306690-20,053695,5136291-0.1,STUD,SNCM439, Φ35,798,6,36,2021-06-17,,CNC1차대기-20210528,1,MAN Energy Solutions-(수출),,33984
56,A21052400JI,4200306690-10,K01937,4021327-1.3,"STUD, W. LONG/SHORT THREAD",SNCM439, Φ45,958,6,72,2021-06-17,,CNC1차대기-20210528,1,MAN Energy Solutions-(수출),,72993
59,A210409006Y,KBA007212/KBA007261/KBA007259,060711,B9412303802/B9412303801,STUD BOLT FOR T/C,SNCM439, Φ35,479,24,87,2021-06-17,,CNC2차대기-20210531,2,현대중공업,,29900
60,A2105170096,KBA007409,K03961,B9912088331/B9300308548,STUD FOR CON-ROD END,SNCM439 QT, Φ40,386,2,7,2021-06-17,검사품,CNC1차대기-20210520,-6,현대중공업,,19300
61,A210506009I,MW4032/755542,Z01343,3X-73964-00/5088467-8.0,STUD,SNCM439, Φ32,508,8,26,2021-06-18,,CNC1차대기-20210528,1,금용기계㈜,,16231
62,A2104270010,KBW1001224/HOTHR091/BV W.C,057386,B9904692780,STUD FOR CON-ROD BIG END,SNCM439, Φ35,461,200,701,2021-06-18,BV/W,CNC2차대기-20210528,0,디에스티,,24418
64,A2104160030,KAA007393/KAA007288/KAA007319,063865,A1356748271,FITTED BOLT,SCM440, Φ60,201,47,213,2021-06-18,,CNC1차대기-20210512,-14,현대중공업,,20054
65,A21050400KJ,KBF005462/KBF005461/KBF005463,062716,B9906835934/B9906835931,SIDE STUD,SNCM439, Φ40,534,120,635,2021-06-21,검사품,CNC1차(0),2,현대중공업,,27590
66,A210408002I,KBA007036/KBA007228,062953,B9906836995,SIDE STUD,SNCM439, Φ40,422,160,666,2021-06-21,검사품,CNC1차대기-20210518,-8,현대중공업,,23500
69,A21040700AL,PANT2413/KAA007359/NAT 2417,061864,13-068773-0/A1368165860,STOP BOLT,SNCM439, Φ50,191,42,126,2021-06-22,,CNC2차(0),-15,HSD엔진(주),,37650
70,D210517007U,KMAR3212/SK  5488/CMES3100,S00371,DN173-M90000-01,"HYDRAULIC NUT-TYPE ""R""",S45C, Φ170,94,56,967,2021-06-22,,CNC1차대기-20210525,-1,HSD엔진(주),,32450
71,A210506008Y,TE31X0/MW0066,K05273,3E-48619-02,STUD F.AXIVAL VIBR.DAMPER,SNCM439, Φ25,497,16,31,2021-06-22,,CNC1차대기-20210526,0,금용기계㈜,,9546
72,A210506008C,TE31X0/MW0066,K01618,3E-48618-02,"STUD, AXIAL VIBR. DAMPER",SNCM439, Φ35,549,8,33,2021-06-22,,CNC1차대기-20210531,4,금용기계㈜,,17050
74,A21050400H9,HSD_STOCK_K98ME_0010/2238,K01866,12-011450-1,STUD BOLT,SNCM439, Φ45,478,25,150,2021-06-23,,CNC1차대기-20210531,4,HSD엔진(주),,25840
