variable,solution
"u_K57386,13",0.0
"u_K57386,14",0.0
"u_K57386,15",0.0
"u_K57386,16",0.0
"u_K57386,17",0.0
"u_K57386,18",0.0
"u_K57386,19",0.0
"u_K57386,2",0.0
"u_K57386,20",0.0
"u_K57386,21",0.0
"u_K57386,22",0.0
"u_K57386,23",0.0
"u_K57386,24",0.0
"u_K57386,25",0.0
"u_K57386,26",0.0
"u_K57386,27",0.0
"u_K57386,28",0.0
"u_K57386,29",0.0
"u_K57386,3",0.0
"u_K57386,30",0.0
"u_K57386,31",0.0
"u_K57386,32",0.0
"u_K57386,33",0.0
"u_K57386,34",0.0
"u_K57386,35",0.0
"u_K57386,36",0.0
"u_K57386,37",0.0
"u_K57386,38",0.0
"u_K57386,39",0.0
"u_K57386,4",0.0
"u_K57386,40",0.0
"u_K57386,41",0.0
"u_K57386,42",0.0
"u_K57386,43",0.0
"u_K57386,44",0.0
"u_K57386,45",0.0
"u_K57386,46",0.0
"u_K57386,47",0.0
"u_K57386,5",0.0
"u_K57386,6",0.0
"u_K57386,7",0.0
"u_K57386,8",0.0
"u_K57386,9",0.0
"u_K57791,0",0.0
"u_K57791,1",0.0
"u_K57791,10",0.0
"u_K57791,11",0.0
"u_K57791,12",0.0
"u_K57791,13",0.0
"u_K57791,14",0.0
"u_K57791,15",0.0
"u_K57791,16",0.0
"u_K57791,17",0.0
"u_K57791,18",0.0
"u_K57791,19",0.0
"u_K57791,2",0.0
"u_K57791,20",0.0
"u_K57791,21",0.0
"u_K57791,22",0.0
"u_K57791,23",0.0
"u_K57791,24",0.0
"u_K57791,25",0.0
"u_K57791,26",0.0
"u_K57791,27",0.0
"u_K57791,28",0.0
"u_K57791,29",0.0
"u_K57791,3",0.0
"u_K57791,30",0.0
"u_K57791,31",0.0
"u_K57791,32",0.0
"u_K57791,33",0.0
"u_K57791,34",0.0
"u_K57791,35",0.0
"u_K57791,36",0.0
"u_K57791,37",0.0
"u_K57791,38",0.0
"u_K57791,39",0.0
"u_K57791,4",0.0
"u_K57791,40",0.0
"u_K57791,41",0.0
"u_K57791,42",0.0
"u_K57791,43",0.0
"u_K57791,44",0.0
"u_K57791,45",0.0
"u_K57791,46",0.0
"u_K57791,47",0.0
"u_K57791,5",0.0
"u_K57791,6",0.0
"u_K57791,7",0.0
"u_K57791,8",0.0
"u_K57791,9",0.0
"u_K61088,0",0.0
"u_K61088,1",0.0
"u_K61088,10",0.0
"u_K61088,11",0.0
"u_K61088,12",0.0
"u_K61088,13",0.0
"u_K61088,14",0.0
"u_K61088,15",0.0
"u_K61088,16",0.0
"u_K61088,17",0.0
"u_K61088,18",0.0
"u_K61088,19",0.0
"u_K61088,2",0.0
"u_K61088,20",0.0
"u_K61088,21",0.0
"u_K61088,22",0.0
"u_K61088,23",0.0
"u_K61088,24",0.0
"u_K61088,25",0.0
"u_K61088,26",0.0
"u_K61088,27",0.0
"u_K61088,28",0.0
"u_K61088,29",0.0
"u_K61088,3",0.0
"u_K61088,30",0.0
"u_K61088,31",0.0
"u_K61088,32",0.0
"u_K61088,33",0.0
"u_K61088,34",0.0
"u_K61088,35",0.0
"u_K61088,36",0.0
"u_K61088,37",0.0
"u_K61088,38",0.0
"u_K61088,39",0.0
"u_K61088,4",0.0
"u_K61088,40",0.0
"u_K61088,41",0.0
"u_K61088,42",0.0
"u_K61088,43",0.0
"u_K61088,44",0.0
"u_K61088,45",0.0
"u_K61088,46",0.0
"u_K61088,47",0.0
"u_K61088,5",0.0
"u_K61088,6",0.0
"u_K61088,7",0.0
"u_K61088,8",0.0
"u_K61088,9",0.0
"u_K61218,0",0.0
"u_K61218,1",0.0
"u_K61218,10",0.0
"u_K61218,11",0.0
"u_K61218,12",0.0
"u_K61218,13",0.0
"u_K61218,14",0.0
"u_K61218,15",0.0
"u_K61218,16",0.0
"u_K61218,17",0.0
"u_K61218,18",0.0
"u_K61218,19",0.0
"u_K61218,2",0.0
"u_K61218,20",0.0
"u_K61218,21",0.0
"u_K61218,22",0.0
"u_K61218,23",0.0
"u_K61218,24",0.0
"u_K61218,25",0.0
"u_K61218,26",0.0
"u_K61218,27",0.0
"u_K61218,28",0.0
"u_K61218,29",0.0
"u_K61218,3",0.0
"u_K61218,30",0.0
"u_K61218,31",0.0
"u_K61218,32",0.0
"u_K61218,33",0.0
"u_K61218,34",0.0
"u_K61218,35",0.0
"u_K61218,36",0.0
"u_K61218,37",0.0
"u_K61218,38",0.0
"u_K61218,39",0.0
"u_K61218,4",0.0
"u_K61218,40",0.0
"u_K61218,41",0.0
"u_K61218,42",0.0
"u_K61218,43",0.0
"u_K61218,44",0.0
"u_K61218,45",0.0
"u_K61218,46",0.0
"u_K61218,47",0.0
"u_K61218,5",0.0
"u_K61218,6",0.0
"u_K61218,7",0.0
"u_K61218,8",0.0
"u_K61218,9",0.0
"u_K61606,0",0.0
"u_K61606,1",0.0
"u_K61606,10",0.0
"u_K61606,11",0.0
"u_K61606,12",0.0
"u_K61606,13",0.0
"u_K61606,14",0.0
"u_K61606,15",0.0
"u_K61606,16",0.0
"u_K61606,17",0.0
"u_K61606,18",0.0
"u_K61606,19",0.0
"u_K61606,2",0.0
"u_K61606,20",0.0
"u_K61606,21",0.0
"u_K61606,22",0.0
"u_K61606,23",0.0
"u_K61606,24",0.0
"u_K61606,25",0.0
"u_K61606,26",0.0
"u_K61606,27",0.0
"u_K61606,28",0.0
"u_K61606,29",0.0
"u_K61606,3",0.0
"u_K61606,30",0.0
"u_K61606,31",0.0
"u_K61606,32",0.0
"u_K61606,33",0.0
"u_K61606,34",0.0
"u_K61606,35",0.0
"u_K61606,36",0.0
"u_K61606,37",0.0
"u_K61606,38",0.0
"u_K61606,39",0.0
"u_K61606,4",0.0
"u_K61606,40",0.0
"u_K61606,41",0.0
"u_K61606,42",0.0
"u_K61606,43",0.0
"u_K61606,44",0.0
"u_K61606,45",0.0
"u_K61606,46",0.0
"u_K61606,47",0.0
"u_K61606,5",0.0
"u_K61606,6",0.0
"u_K61606,7",0.0
"u_K61606,8",0.0
"u_K61606,9",0.0
"u_K62330,0",0.0
"u_K62330,1",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,10",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,11",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,12",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,13",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,14",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,15",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,16",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,17",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,18",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,19",0.0
"u_K62330,2",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,20",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
