,0
"('K04031', 436.0, '2021-05-30')",0
"('K04031', 436.0, '2021-03-10')",0
"('K04031', 436.0, '2021-05-10')",0
"('K04031', 436.0, '2021-05-24')",275
"('K04031', 436.0, '2021-05-13')",0
"('K04031', 436.0, '2021-05-31')",0
"('K04031', 436.0, '2021-02-18')",0
"('K04031', 436.0, '2021-02-10')",0
"('K04031', 438.0, '2021-04-10')",0
"('K04031', 438.0, '2021-05-30')",0
"('K04031', 438.0, '2021-03-10')",0
"('K04031', 438.0, '2021-05-10')",0
"('K04031', 438.0, '2021-05-24')",0
"('K04031', 438.0, '2021-05-13')",0
"('K04031', 438.0, '2021-05-31')",0
"('K04031', 438.0, '2021-02-18')",0
"('K04031', 438.0, '2021-02-10')",0
"('K04031', 439.0, '2021-04-10')",0
"('K04031', 439.0, '2021-05-30')",0
"('K04031', 439.0, '2021-03-10')",0
"('K04031', 439.0, '2021-05-10')",0
"('K04031', 439.0, '2021-05-24')",0
"('K04031', 439.0, '2021-05-13')",0
"('K04031', 439.0, '2021-05-31')",0
"('K04031', 439.0, '2021-02-18')",0
"('K04031', 439.0, '2021-02-10')",0
"('K04031', 440.0, '2021-04-10')",0
"('K04031', 440.0, '2021-05-30')",0
"('K04031', 440.0, '2021-03-10')",0
"('K04031', 440.0, '2021-05-10')",0
"('K04031', 440.0, '2021-05-24')",302
"('K04031', 440.0, '2021-05-13')",0
"('K04031', 440.0, '2021-05-31')",0
"('K04031', 440.0, '2021-02-18')",0
"('K04031', 440.0, '2021-02-10')",0
"('S00271', 404.0, '2021-04-10')",0
"('S00271', 404.0, '2021-05-30')",0
"('S00271', 404.0, '2021-03-10')",0
"('S00271', 404.0, '2021-05-10')",0
"('S00271', 404.0, '2021-05-24')",0
"('S00271', 404.0, '2021-05-13')",0
"('S00271', 404.0, '2021-05-31')",0
"('S00271', 404.0, '2021-02-18')",0
"('S00271', 404.0, '2021-02-10')",0
"('S00271', 405.0, '2021-04-10')",0
"('S00271', 405.0, '2021-05-30')",0
"('S00271', 405.0, '2021-03-10')",0
"('S00271', 405.0, '2021-05-10')",0
"('S00271', 405.0, '2021-05-24')",0
"('S00271', 405.0, '2021-05-13')",0
"('S00271', 405.0, '2021-05-31')",0
"('S00271', 405.0, '2021-02-18')",0
"('S00271', 405.0, '2021-02-10')",0
"('S00271', 407.0, '2021-04-10')",0
"('S00271', 407.0, '2021-05-30')",0
"('S00271', 407.0, '2021-03-10')",0
"('S00271', 407.0, '2021-05-10')",0
"('S00271', 407.0, '2021-05-24')",0
"('S00271', 407.0, '2021-05-13')",0
"('S00271', 407.0, '2021-05-31')",0
"('S00271', 407.0, '2021-02-18')",0
"('S00271', 407.0, '2021-02-10')",0
"('S00271', 408.0, '2021-04-10')",0
"('S00271', 408.0, '2021-05-30')",0
"('S00271', 408.0, '2021-03-10')",0
"('S00271', 408.0, '2021-05-10')",0
"('S00271', 408.0, '2021-05-24')",0
"('S00271', 408.0, '2021-05-13')",0
"('S00271', 408.0, '2021-05-31')",0
"('S00271', 408.0, '2021-02-18')",0
"('S00271', 408.0, '2021-02-10')",0
"('S00271', 409.0, '2021-04-10')",0
"('S00271', 409.0, '2021-05-30')",0
"('S00271', 409.0, '2021-03-10')",0
"('S00271', 409.0, '2021-05-10')",0
"('S00271', 409.0, '2021-05-24')",0
"('S00271', 409.0, '2021-05-13')",0
"('S00271', 409.0, '2021-05-31')",0
"('S00271', 409.0, '2021-02-18')",0
"('S00271', 409.0, '2021-02-10')",0
"('S00271', 410.0, '2021-04-10')",0
"('S00271', 410.0, '2021-05-30')",0
"('S00271', 410.0, '2021-03-10')",0
"('S00271', 410.0, '2021-05-10')",0
"('S00271', 410.0, '2021-05-24')",0
"('S00271', 410.0, '2021-05-13')",0
"('S00271', 410.0, '2021-05-31')",0
"('S00271', 410.0, '2021-02-18')",0
"('S00271', 410.0, '2021-02-10')",0
"('S00271', 412.0, '2021-04-10')",0
"('S00271', 412.0, '2021-05-30')",0
"('S00271', 412.0, '2021-03-10')",0
